AMT01,09/06/2007,1125,1200,8,48
AMT02,18/02/2011,3833,1200,10,48
AMT03,10/07/2016,4369,2000,12,36
AMT04,22/05/2009,3961,2000,8,48
AMT05,13/11/2018,2753,1200,8,24
AMT06,18/07/2011,2745,2000,12,36
AMT07,25/11/2001,1629,1200,10,24
AMT08,25/05/2009,2237,1200,8,36
AMT09,03/03/2017,1073,1200,12,24
AMT10,14/09/2015,121,2000,8,24
AMT11,29/01/2019,2149,2000,8,24
AMT12,23/04/2013,3933,1200,12,24
AMT13,29/07/2013,4637,1200,8,36
AMT14,07/02/2000,497,2000,12,36
AMT15,09/03/2012,2437,2000,8,36
AMT16,21/03/2012,2049,1200,10,48
AMT17,07/09/2014,849,2000,10,36
AMT18,17/09/2011,3733,2000,12,36
AMT19,13/11/2016,473,2000,8,48
AMT20,30/08/2016,3145,1200,10,24
AMT21,02/10/2004,4181,2000,8,36
AMT22,04/05/2001,2373,2000,12,24
AMT23,29/03/2001,4561,1200,10,36
AMT24,13/05/2015,2817,600,8,24
AMT25,30/08/2007,309,1200,10,24
AMT26,08/01/2003,4625,1200,12,24
AMT27,21/09/2013,3581,1200,8,24
AMT28,25/03/2006,3569,1200,10,24
AMT29,21/06/2001,2525,2000,8,24
AMT30,24/10/2005,3825,2000,10,48
AMT31,20/08/2017,1765,1200,12,36
AMT32,12/11/2008,4301,1200,8,24
AMT33,16/02/2017,1845,1200,8,24
AMT34,13/12/2011,1229,1200,8,24
AMT35,24/01/2009,113,2000,8,24
AMT36,29/06/2008,73,1200,8,24
AMT37,24/08/2006,3145,2000,8,24
AMT38,11/07/2017,1241,1200,8,24
AMT39,20/12/2017,1465,2000,10,36
AMT40,22/08/2010,2921,1200,10,24
AMT41,17/05/2020,789,1200,10,48
AMT42,13/01/2016,1853,1200,8,24
AMT43,16/01/2012,701,1200,8,24
AMT44,05/05/2017,3009,1200,8,48
AMT45,23/02/2009,2429,600,12,36
AMT46,10/04/2013,901,1200,12,36
AMT47,11/04/2014,3901,1200,8,48
AMT48,02/09/2015,4677,2000,8,48
AMT49,14/02/2004,3653,1200,8,36
AMT50,09/05/2000,1113,2000,10,24
AMT51,07/10/2002,3077,1200,8,48
AMT52,05/06/2021,4273,2000,10,24
AMT53,15/08/2008,3233,2000,10,36
AMT54,15/07/2001,721,1200,10,36
AMT55,19/03/2005,1273,1200,12,36
AMT56,19/10/2012,705,1200,10,36
AMT57,13/02/2005,3641,2000,10,36
AMT58,02/10/2010,3157,1200,10,24
AMT59,11/03/2013,3629,2000,8,24
AMT60,13/01/2009,1301,1200,8,36
AMT61,13/05/2010,2705,2000,10,36
AMT62,28/06/2012,4297,1200,10,36
AMT63,17/03/2008,1013,2000,10,24
AMT64,06/03/2003,4805,1200,8,36
AMT65,28/05/2012,4997,1200,8,24
AMT66,28/08/2012,2429,2000,8,36
AMT67,08/10/2014,101,1200,8,24
AMT68,29/11/2006,813,1200,12,36
AMT69,20/12/2013,3609,1200,10,48
AMT70,06/01/2002,2197,1200,12,36
AMT71,08/03/2017,1925,2000,10,24
AMT72,18/08/2017,4885,2000,12,36
AMT73,11/06/2011,9,1200,8,24
AMT74,27/10/2013,3985,2000,8,24
AMT75,11/07/2013,4301,1200,8,24
AMT76,01/09/2016,2909,1200,8,36
AMT77,13/09/2019,1977,1200,8,24
AMT78,07/01/2019,1813,2000,10,36
AMT79,06/05/2001,3205,1200,12,36
AMT80,30/04/2003,3817,2000,12,48
AMT81,17/09/2009,785,2000,8,36
AMT82,26/01/2016,2869,1200,8,36
AMT83,15/11/2019,533,2000,10,24
AMT84,24/09/2001,2153,2000,10,24
AMT85,23/06/2006,4381,2000,8,36
AMT86,22/02/2009,289,2000,8,36
AMT87,27/11/2020,37,2000,8,24
AMT88,23/02/2008,1305,1200,8,48
AMT89,08/10/2007,833,2000,10,24
AMT90,16/06/2012,1305,1200,10,36
AMT91,07/04/2014,2473,1200,8,24
AMT92,07/08/2009,2541,1200,10,36
AMT93,27/09/2019,4733,1200,8,24
AMT94,06/05/2008,2125,2000,10,48
AMT95,22/11/2004,1581,2000,10,24
AMT96,04/04/2009,2821,1200,8,36
AMT97,08/01/2017,4817,1200,8,24
