BE01,PM01,SER01,AMT01
BE02,PM02,SER02,AMT02
BE03,PM03,SER03,AMT03
BE04,PM04,SER04,AMT04
BE05,PM05,SER05,AMT05
BE06,PM06,SER06,AMT06
BE07,PM07,SER07,AMT07
BE08,PM08,SER08,AMT08
BE09,PM09,SER09,AMT09
BE10,PM10,SER10,AMT10
BE11,PM11,SER11,AMT11
BE12,PM12,SER12,AMT12
BE13,PM13,SER13,AMT13
BE14,PM14,SER14,AMT14
BE15,PM15,SER15,AMT15
BE16,PM16,SER16,AMT16
BE17,PM17,SER17,AMT17
BE18,PM18,SER18,AMT18
BE19,PM19,SER19,AMT19
BE20,PM20,SER20,AMT20
BE21,PM21,SER21,AMT21
BE22,PM22,SER22,AMT22
BE23,PM23,SER23,AMT23
BE24,PM24,SER24,AMT24
BE25,PM25,SER25,AMT25
BE26,PM26,SER26,AMT26
BE27,PM27,SER27,AMT27
BE28,PM28,SER28,AMT28
BE29,PM29,SER29,AMT29
BE30,PM30,SER30,AMT30
BE31,PM31,SER31,AMT31
BE32,PM32,SER32,AMT32
BE33,PM33,SER33,AMT33
BE34,PM34,SER34,AMT34
BE35,PM35,SER35,AMT35
BE36,PM36,SER36,AMT36
BE37,PM37,SER37,AMT37
BE38,PM38,SER38,AMT38
BE39,PM39,SER39,AMT39
BE40,PM40,SER40,AMT40
BE41,PM41,SER41,AMT41
BE42,PM42,SER42,AMT42
BE43,PM43,SER43,AMT43
BE44,PM44,SER44,AMT44
BE45,PM45,SER45,AMT45
BE46,PM46,SER46,AMT46
BE47,PM47,SER47,AMT47
BE48,PM48,SER48,AMT48
BE49,PM49,SER49,AMT49
BE50,PM50,SER50,AMT50
BE51,PM51,SER51,AMT51
BE52,PM52,SER52,AMT52
BE53,PM53,SER53,AMT53
BE54,PM54,SER54,AMT54
BE55,PM55,SER55,AMT55
BE56,PM56,SER56,AMT56
BE57,PM57,SER57,AMT57
BE58,PM58,SER58,AMT58
BE59,PM59,SER59,AMT59
BE60,PM60,SER60,AMT60
BE61,PM61,SER61,AMT61
BE62,PM62,SER62,AMT62
BE63,PM63,SER63,AMT63
BE64,PM64,SER64,AMT64
BE65,PM65,SER65,AMT65
BE66,PM66,SER66,AMT66
BE67,PM67,SER67,AMT67
BE68,PM68,SER68,AMT68
BE69,PM69,SER69,AMT69
BE70,PM70,SER70,AMT70
BE71,PM71,SER71,AMT71
BE72,PM72,SER72,AMT72
BE73,PM73,SER73,AMT73
BE74,PM74,SER74,AMT74
BE75,PM75,SER75,AMT75
BE76,PM76,SER76,AMT76
BE77,PM77,SER77,AMT77
BE78,PM78,SER78,AMT78
BE79,PM79,SER79,AMT79
BE80,PM80,SER80,AMT80
BE81,PM81,SER81,AMT81
BE82,PM82,SER82,AMT82
BE83,PM83,SER83,AMT83
BE84,PM84,SER84,AMT84
BE85,PM85,SER85,AMT85
BE86,PM86,SER86,AMT86
BE87,PM87,SER87,AMT87
BE88,PM88,SER88,AMT88
BE89,PM89,SER89,AMT89
BE90,PM90,SER90,AMT90
BE91,PM91,SER91,AMT91
BE92,PM92,SER92,AMT92
BE93,PM93,SER93,AMT93
BE94,PM94,SER94,AMT94
BE95,PM95,SER95,AMT95
BE96,PM96,SER96,AMT96
BE97,PM97,SER97,AMT97
BE98,PM98,SER98,AMT98
BE99,PM99,SER99,AMT99
BE100,PM100,SER100,AMT100
BE101,PM101,SER101,AMT101
BE102,PM102,SER102,AMT102
BE103,PM103,SER103,AMT103
BE104,PM104,SER104,AMT104
BE105,PM105,SER105,AMT105
BE106,PM106,SER106,AMT106
BE107,PM107,SER107,AMT107
BE108,PM108,SER108,AMT108
BE109,PM109,SER109,AMT109
BE110,PM110,SER110,AMT110
BE111,PM111,SER111,AMT111
BE112,PM112,SER112,AMT112
BE113,PM113,SER113,AMT113
BE114,PM114,SER114,AMT114
BE115,PM115,SER115,AMT115
BE116,PM116,SER116,AMT116
BE117,PM117,SER117,AMT117
BE118,PM118,SER118,AMT118
BE119,PM119,SER119,AMT119
BE120,PM120,SER120,AMT120
BE121,PM121,SER121,AMT121
BE122,PM122,SER122,AMT122
BE123,PM123,SER123,AMT123
BE124,PM124,SER124,AMT124
BE125,PM125,SER125,AMT125
BE126,PM126,SER126,AMT126
BE127,PM127,SER127,AMT127
BE128,PM128,SER128,AMT128
BE129,PM129,SER129,AMT129
BE130,PM130,SER130,AMT130
BE131,PM131,SER131,AMT131
BE132,PM132,SER132,AMT132
BE133,PM133,SER133,AMT133
BE134,PM134,SER134,AMT134
BE135,PM135,SER135,AMT135
BE136,PM136,SER136,AMT136
