SER01, Credito de desarrollo humano,Upon ok available entire civil truth.,Realizado,Credito,2000,04/08/2021,E01,A001,PER01,ROL01
SER02, Credito de desarrollo humano,Stay spring group young as computer able.,Enespera,Consulta,600,08/10/2006,E02,A002,PER02,ROL02
SER03,Transacciones,Little home maybe radio Congress eat.,Realizado,Consulta,600,20/01/2021,E03,A003,PER03,ROL03
SER04, Credito de desarrollo humano,Fill available sing world break fly magazine.,Enespera,Credito,2000,24/04/2011,E04,A004,PER04,ROL04
SER05, Credito de desarrollo humano,Site customer heart human.,Realizado,Debito,600,09/12/2016,E05,A005,PER05,ROL05
SER06,Transacciones,Style agreement plan ready just.,Enespera,Debito,1200,18/05/2002,E06,A006,PER06,ROL06
SER07,Transacciones,Green fear space whose long again investment available.,Enespera,Consulta,1200,10/01/2019,E07,A007,PER07,ROL07
SER08, Credito de desarrollo humano,College minute it information indicate.,Realizado,Debito,2000,08/04/2016,E08,A008,PER08,ROL08
SER09, Credito de desarrollo humano,You same party rather central face share.,Enespera,Debito,2000,19/08/2007,E09,A009,PER09,ROL09
SER10, Credito de desarrollo humano,Rise almost writer do only.,Enespera,Aporte,2000,17/07/2010,E10,A010,PER10,ROL10
SER11, Credito de desarrollo humano,Develop Republican would behavior scientist admit color.,Rechazado,Credito,2000,23/06/2004,E11,A011,PER11,ROL11
SER12, Credito de desarrollo humano,Fund budget school rock would.,Rechazado,Credito,2000,10/04/2020,E12,A012,PER12,ROL12
SER13, Credito de desarrollo humano,Spend stuff class program later college of.,Realizado,Debito,2000,02/05/2015,E13,A013,PER13,ROL13
SER14,Atencion al socio,Step before also interesting four goal cold site.,Enespera,Debito,600,28/10/2006,E14,A014,PER14,ROL14
SER15,Transacciones,Business country here leg decide administration policy.,Realizado,Aporte,2000,20/10/2010,E15,A015,PER15,ROL15
SER16,Transacciones,Peace wind thought expert.,Realizado,Debito,1200,08/01/2021,E16,A016,PER16,ROL16
SER17,Atencion al socio,Represent health high account own whole while.,Rechazado,Aporte,2000,03/08/2012,E17,A017,PER17,ROL17
SER18, Credito de desarrollo humano,Lot event hotel pay rock.,Realizado,Debito,2000,16/01/2015,E18,A018,PER18,ROL18
SER19,Transacciones,Page full month tend employee spend.,Realizado,Consulta,600,10/12/2006,E19,A019,PER19,ROL19
SER20,Transacciones,Tell tax sign buy.,Rechazado,Consulta,2000,27/02/2009,E20,A020,PER20,ROL20
SER21,Atencion al socio,Pay hope human hour partner admit place.,Rechazado,Debito,1200,18/04/2008,E21,A021,PER21,ROL21
SER22, Credito de desarrollo humano,Notice quality letter thought them boy.,Rechazado,Debito,600,02/06/2017,E22,A022,PER22,ROL22
SER23, Credito de desarrollo humano,Tv nothing hold population pay road.,Rechazado,Consulta,600,31/08/2008,E23,A023,PER23,ROL23
SER24, Credito de desarrollo humano,Heavy effect gun.,Enespera,Credito,2000,21/06/2019,E24,A024,PER24,ROL24
SER25, Credito de desarrollo humano,Store fact staff check.,Realizado,Debito,2000,10/04/2019,E25,A025,PER25,ROL25
SER26,Transacciones,Little lot group thank.,Realizado,Credito,2000,01/09/2009,E26,A026,PER26,ROL26
SER27,Transacciones,Move might letter society before.,Rechazado,Debito,600,30/12/2011,E27,A027,PER27,ROL27
SER28, Credito de desarrollo humano,Great technology inside official condition growth.,Realizado,Debito,600,30/05/2018,E28,A028,PER28,ROL28
SER29,Transacciones,Bring let painting cost impact.,Rechazado,Consulta,2000,04/04/2021,E29,A029,PER29,ROL29
SER30, Credito de desarrollo humano,Note certain suddenly though than.,Enespera,Credito,2000,09/03/2015,E30,A030,PER30,ROL30
SER31, Credito de desarrollo humano,Treat than energy less thank instead effort.,Realizado,Consulta,600,01/06/2014,E31,A031,PER31,ROL31
SER32, Credito de desarrollo humano,Often put street resource gas common society free.,Enespera,Credito,2000,14/08/2013,E32,A032,PER32,ROL32
SER33,Atencion al socio,Later without entire strategy Democrat.,Rechazado,Credito,2000,13/05/2004,E33,A033,PER33,ROL33
SER34, Credito de desarrollo humano,Common my thing success happy material.,Realizado,Credito,600,22/12/2006,E34,A034,PER34,ROL34
SER35,Atencion al socio,Value speech daughter long.,Enespera,Debito,600,01/02/2017,E35,A035,PER35,ROL35
